artist;id;name;degree
IAmChino (9903932);9903932;IAmChino;3
Kevin Lyttle (716);716;Kevin Lyttle;3
Mariah Angeliq (100314362);100314362;Mariah Angeliq;3
Alex Sensation (358289);358289;Alex Sensation;3
Dj Adoni (136586882);136586882;Dj Adoni;3
Keane (106);106;Keane;3
Tyler Glenn (4421463);4421463;Tyler Glenn;3
Jack McManus (74305);74305;Jack McManus;3
D-wayne (1672165);1672165;D-wayne;3
Mightyfools (270978);270978;Mightyfools;3
Jay Karama (4813135);4813135;Jay Karama;3
DISTO (8898574);8898574;DISTO;3
Ravitez (1465172);1465172;Ravitez;3
Luxtides (13021715);13021715;Luxtides;3
Devin Cruise (5824244);5824244;Devin Cruise;3
 (1431914);1431914;;3
 (251403);251403;;3
 (130171);130171;;3
 (10470065);10470065;;3
 (4623924);4623924;;3
 (142942092);142942092;;3
 (1154966);1154966;;3
Emmalyn (4859365);4859365;Emmalyn;3
Jewelz & Sparks (5983048);5983048;Jewelz & Sparks;3
Mike Taylor (152188);152188;Mike Taylor;3
SAYMYNAME (8594480);8594480;SAYMYNAME;3
Timbaland (9662);9662;Timbaland;3
Dev (525457);525457;Dev;3
Fais (4343423);4343423;Fais;3
Stanaj (10826646);10826646;Stanaj;3
Brandyn Burnette (4435580);4435580;Brandyn Burnette;3
DLMT (11153062);11153062;DLMT;3
Chasner (11181764);11181764;Chasner;3
Doecchi (162264697);162264697;Doecchi;3
Missy Elliot (2487201);2487201;Missy Elliot;3
Chico Rose (48605082);48605082;Chico Rose;3
Ally Brooke (4327271);4327271;Ally Brooke;3
Hard Lights (5924213);5924213;Hard Lights;3
Thirty Seconds to Mars (390183);390183;Thirty Seconds to Mars;3
Black V Neck (12061156);12061156;Black V Neck;3
Miss Palmer (1452487);1452487;Miss Palmer;3
Jessie Ware (1443471);1443471;Jessie Ware;3
POLO G (49818632);49818632;POLO G;3
LunchMoney Lewis (7177292);7177292;LunchMoney Lewis;3
Skylar Grey (1352674);1352674;Skylar Grey;3
MadeinTYO (9928732);9928732;MadeinTYO;3
Ptaf (5276782);5276782;Ptaf;3
Normani (12549876);12549876;Normani;3
Mosees (99670512);99670512;Mosees;3
Labrinth (794548);794548;Labrinth;3
Elton John (413);413;Elton John;3
