artist;id;name;nb_fans;nb_album
James Blunt (287);287;James Blunt;1376778;39
Tom Walker (5276754);5276754;Tom Walker;352747;63
Erika Sirola (13612791);13612791;Erika Sirola;162;3
Francesco Yates (6574087);6574087;Francesco Yates;6412;15
Wes (6745);6745;Wes;14074;8
Israel Kamakawiwo'ole (256328);256328;Israel Kamakawiwo'ole;41207;1
Mougleta (9143504);9143504;Mougleta;223;41
Lilly Wood And The Prick (307677);307677;Lilly Wood And The Prick;711486;18
Dennis Lloyd (1678285);1678285;Dennis Lloyd;72934;31
Oliver Tree (10799102);10799102;Oliver Tree;143960;43
 (10109814);10109814;;0;0
EZ El Ezeta (7535810);7535810;EZ El Ezeta;236;21
Alex Gargola (10976680);10976680;Alex Gargola;2;0
Noriel (8310400);8310400;Noriel;654268;79
Arcangel (14033495);14033495;Arcangel;52487;15
Jadiel (244452);244452;Jadiel;11479;10
Ricky Martin (2789);2789;Ricky Martin;2073592;60
Lil Geniuz (11775419);11775419;Lil Geniuz;304;9
Casper Magico (11569041);11569041;Casper Magico;458585;72
Sinfonico (6136492);6136492;Sinfonico;9686;57
Secreto "El Famoso Biberon" (2136631);2136631;Secreto "El Famoso Biberon";4078;49
Bryant Myers (9945206);9945206;Bryant Myers;887038;75
Nino Freestyle (14534647);14534647;Nino Freestyle;3360;91
Ghetto (126900632);126900632;Ghetto;637;2
Jowell & Randy (265175);265175;Jowell & Randy;961304;67
Pacho El Antifeka (9866032);9866032;Pacho El Antifeka;1102;61
Secreto El Famoso Biberon (3271101);3271101;Secreto El Famoso Biberon;11158;14
Jacob Forever (1533735);1533735;Jacob Forever;14380;112
Lary Over (10149178);10149178;Lary Over;234596;79
Carbon Fiber Music (81703832);81703832;Carbon Fiber Music;5080;9
Sharo Towers (14718457);14718457;Sharo Towers;94;2
Rochy RD (14554749);14554749;Rochy RD;32110;154
Don chezina (279665);279665;Don chezina;3026;37
KVSH (8480288);8480288;KVSH;105832;58
the otherz (7075175);7075175;the otherz;5414;35
Dennis (115518322);115518322;Dennis;291;39
Ankhal (54946772);54946772;Ankhal;7204;39
Dahian El Apechao (9946014);9946014;Dahian El Apechao;189;26
Maffio (2580381);2580381;Maffio;6597;39
Luyanna (4543067);4543067;Luyanna;5870;11
Tempo (151789272);151789272;Tempo;10;1
Ara Malikian (64974);64974;Ara Malikian;11460;36
Dani Martin (460115);460115;Dani Martin;62978;19
Coti (4478);4478;Coti;45467;27
 (8647);8647;;0;0
 (5417614);5417614;;0;0
 (7747768);7747768;;0;0
 (243761);243761;;0;0
 (133272);133272;;0;0
 (160741);160741;;0;0
Carlos Vives (7343);7343;Carlos Vives;2299305;69
Rubén Blades (15796);15796;Rubén Blades;348824;84
Camila (8844);8844;Camila;1539963;25
Río Roma (1104730);1104730;Río Roma;1066152;25
Leonel Garcia (649545);649545;Leonel Garcia;89695;36
Diego Torres (4096);4096;Diego Torres;113401;28
Chael Produciendo (8218390);8218390;Chael Produciendo;30205;36
La Perversa (85418042);85418042;La Perversa;3209;63
Amenazzy (11342468);11342468;Amenazzy;113061;81
Milly (172051);172051;Milly;8415;26
Christian Daniel (265343);265343;Christian Daniel;24816;22
Ky-Mani Marley (119801);119801;Ky-Mani Marley;189848;28
Camilo (58568762);58568762;Camilo;2068857;35
Sabrina Carpenter (1176900);1176900;Sabrina Carpenter;630379;41
Enrique Iglesias (2792);2792;Enrique Iglesias;5708698;100
Omar Courtz (14534981);14534981;Omar Courtz;223;24
IAmChino (9903932);9903932;IAmChino;6858;32
Kevin Lyttle (716);716;Kevin Lyttle;116262;40
Mariah Angeliq (100314362);100314362;Mariah Angeliq;110501;43
Alex Sensation (358289);358289;Alex Sensation;19060;12
Dj Adoni (136586882);136586882;Dj Adoni;9988;5
Keane (106);106;Keane;1923788;47
Tyler Glenn (4421463);4421463;Tyler Glenn;514;4
Jack McManus (74305);74305;Jack McManus;317;0
D-wayne (1672165);1672165;D-wayne;10096;80
Mightyfools (270978);270978;Mightyfools;11253;33
Jay Karama (4813135);4813135;Jay Karama;1557;6
DISTO (8898574);8898574;DISTO;767;12
Ravitez (1465172);1465172;Ravitez;635;16
Luxtides (13021715);13021715;Luxtides;30;16
Devin Cruise (5824244);5824244;Devin Cruise;122;0
 (1431914);1431914;;0;0
 (251403);251403;;0;0
 (130171);130171;;0;0
 (10470065);10470065;;0;0
 (4623924);4623924;;0;0
 (142942092);142942092;;0;0
 (1154966);1154966;;0;0
Emmalyn (4859365);4859365;Emmalyn;235;12
Jewelz & Sparks (5983048);5983048;Jewelz & Sparks;22262;64
Mike Taylor (152188);152188;Mike Taylor;471;67
SAYMYNAME (8594480);8594480;SAYMYNAME;739;32
Timbaland (9662);9662;Timbaland;1001149;27
Dev (525457);525457;Dev;91442;260
Fais (4343423);4343423;Fais;8044;20
Stanaj (10826646);10826646;Stanaj;1542;16
Brandyn Burnette (4435580);4435580;Brandyn Burnette;2372;57
DLMT (11153062);11153062;DLMT;706;15
Chasner (11181764);11181764;Chasner;126;12
Doecchi (162264697);162264697;Doecchi;4;0
Missy Elliot (2487201);2487201;Missy Elliot;2441;1
Chico Rose (48605082);48605082;Chico Rose;9423;41
Ally Brooke (4327271);4327271;Ally Brooke;55452;28
Hard Lights (5924213);5924213;Hard Lights;2401;17
Thirty Seconds to Mars (390183);390183;Thirty Seconds to Mars;1591754;25
Black V Neck (12061156);12061156;Black V Neck;280;36
Miss Palmer (1452487);1452487;Miss Palmer;3406;6
Jessie Ware (1443471);1443471;Jessie Ware;125466;55
POLO G (49818632);49818632;POLO G;574558;18
LunchMoney Lewis (7177292);7177292;LunchMoney Lewis;14647;5
Skylar Grey (1352674);1352674;Skylar Grey;151998;30
MadeinTYO (9928732);9928732;MadeinTYO;11830;16
Ptaf (5276782);5276782;Ptaf;1031;6
Normani (12549876);12549876;Normani;361405;15
Mosees (99670512);99670512;Mosees;9;20
Labrinth (794548);794548;Labrinth;517054;34
Elton John (413);413;Elton John;2074853;88
Akbar V (12400944);12400944;Akbar V;49;27
Katie Got Bandz (3931171);3931171;Katie Got Bandz;168;25
BIA (67613892);67613892;BIA;23254;28
JT (326759);326759;JT;3270;298
 (83483);83483;;0;0
 (14572331);14572331;;0;0
 (5468438);5468438;;0;0
 (1623297);1623297;;0;0
 (487999);487999;;0;0
Lady Leshurr (869538);869538;Lady Leshurr;65246;32
Patrice Roberts (158803);158803;Patrice Roberts;2831;42
Destra Garcia (250718);250718;Destra Garcia;9922;16
Skeng (874562);874562;Skeng;3818;50
Jessie J (985109);985109;Jessie J;4874690;30
Leisa Hart (9897428);9897428;Leisa Hart;0;0
Enzo Ingrosso (6128810);6128810;Enzo Ingrosso;18;5
JJ Maley (144181152);144181152;JJ Maley;0;0
Lisa Romano (7525104);7525104;Lisa Romano;0;0
Olivia Moffa (102735502);102735502;Olivia Moffa;0;0
Ariana Valdes (102735492);102735492;Ariana Valdes;1;0
Josh Mele (102735482);102735482;Josh Mele;1;0
Sophie Sagan-Gutherz (102735472);102735472;Sophie Sagan-Gutherz;0;0
Nina Andjelic (102735452);102735452;Nina Andjelic;0;0
Derek Emerson Powell (102735442);102735442;Derek Emerson Powell;0;0
Lilli Komurek (102735432);102735432;Lilli Komurek;0;0
Melissa Winter (5038156);5038156;Melissa Winter;0;0
Kilian Crowley (102735422);102735422;Kilian Crowley;0;0
Ty-Gabriel (103830662);103830662;Ty-Gabriel;0;1
Stadiumx (5569389);5569389;Stadiumx;16365;69
Nick Martin (399257);399257;Nick Martin;5497;26
Slash (5645701);5645701;Slash;1419;12
Cory Gunz (92255);92255;Cory Gunz;3857;12
J-Status (14034);14034;J-Status;129;0
Britney Spears (483);483;Britney Spears;4835367;14
N.E.R.D (240);240;N.E.R.D;89131;21
SZA (5531258);5531258;SZA;600541;24
Coldplay (892);892;Coldplay;15594756;94
Paul McCartney (1446);1446;Paul McCartney;1533923;89
 (393373);393373;;0;0
 (153059292);153059292;;0;0
 (94463712);94463712;;0;0
 (80912);80912;;0;0
 (153059272);153059272;;0;0
 (1430521);1430521;;0;0
 (368);368;;0;0
 (12400414);12400414;;0;0
 (12466954);12466954;;0;0
Louise Bush (11389678);11389678;Louise Bush;580;2
Auli'i Cravalho (11389676);11389676;Auli'i Cravalho;16851;2
Rachel House (11389674);11389674;Rachel House;119;2
Christopher Jackson (1154800);1154800;Christopher Jackson;5154;58
Paije (10491593);10491593;Paije;21;2
Hayden James (4552034);4552034;Hayden James;13083;15
Chiptune (14933901);14933901;Chiptune;4;2
AVIAN GRAYS (68021352);68021352;AVIAN GRAYS;728;2
Darren Styles (13213);13213;Darren Styles;9578;75
Shyne (8630);8630;Shyne;4108;45
Monica (2270);2270;Monica;267128;38
Plies (15370);15370;Plies;195213;72
ZAYTOVEN (1247771);1247771;ZAYTOVEN;5709;134
Alicia Keys (228);228;Alicia Keys;5241983;59
Pronto (13275767);13275767;Pronto;931;24
Wanja Janeva (4805136);4805136;Wanja Janeva;404;8
Butch (181192);181192;Butch;2651;127
Cameron Walker (7851644);7851644;Cameron Walker;278;14
Tydi (292081);292081;Tydi;17381;87
Nik & Jay (214878);214878;Nik & Jay;13911;47
Riggi & Piros (5020915);5020915;Riggi & Piros;10676;41
Sam James (508476);508476;Sam James;1044;47
