source;target;song;id_song;id_source;name_source;id_target;name_target
Sam Brown (67687);THE JONES GANG (1140594);If You Think You're Groovy (Live);1265210442;67687;Sam Brown;1140594;THE JONES GANG
Jools Holland (66617);Sam Brown (67687);Horse To The Water;462913902;66617;Jools Holland;67687;Sam Brown
Jools Holland (66617);Sam Brown (67687);Valentine Moon;802439;66617;Jools Holland;67687;Sam Brown
Huw Jones (258112);Sam Brown (67687);Bentley's Bounce;140226323;258112;Huw Jones;67687;Sam Brown
Huw Jones (258112);Sam Brown (67687);Avian;141321509;258112;Huw Jones;67687;Sam Brown
Huw Jones (258112);Sam Brown (67687);Autumn Fire;140226259;258112;Huw Jones;67687;Sam Brown
MAROUANE (61726202);Sam Brown (67687);48H;956938062;61726202;MAROUANE;67687;Sam Brown
Huw Jones (258112);Sam Brown (67687);Way Back When;140226319;258112;Huw Jones;67687;Sam Brown
Sam Brown (67687);Ambrose & His Orchestra (256850);I Don't Want to Go to Bed;63703238;67687;Sam Brown;256850;Ambrose & His Orchestra
Sam Brown (67687);Max Abrams (5153624);I Don't Want to Go to Bed;63703238;67687;Sam Brown;5153624;Max Abrams
Ambrose & His Orchestra (256850);Max Abrams (5153624);I Don't Want to Go to Bed;63703238;256850;Ambrose & His Orchestra;5153624;Max Abrams
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);5:15;100478828;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);5:15;100478828;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);5:15;100478828;242283;Alfie Boe;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);5:15;100478828;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);5:15;100478828;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);5:15;100478828;4455202;Robert Ziegler;5640634;London Oriana Choir
Pete Townshend (5432);Alfie Boe (242283);The Punk And The Godfather;100478816;5432;Pete Townshend;242283;Alfie Boe
Pete Townshend (5432);Royal Philharmonic Orchestra (94226);The Punk And The Godfather;100478816;5432;Pete Townshend;94226;Royal Philharmonic Orchestra
Pete Townshend (5432);Robert Ziegler (4455202);The Punk And The Godfather;100478816;5432;Pete Townshend;4455202;Robert Ziegler
